Entity,Code,Year,Wind Capacity (gigawatts)
Argentina,ARG,1997,0.009000000000000001
Argentina,ARG,1998,0.014
Argentina,ARG,1999,0.014
Argentina,ARG,2000,0.0141
Argentina,ARG,2001,0.024800000000000003
Argentina,ARG,2002,0.0258
Argentina,ARG,2003,0.0257
Argentina,ARG,2004,0.027800000000000002
Argentina,ARG,2005,0.027800000000000002
Argentina,ARG,2006,0.027800000000000002
Argentina,ARG,2007,0.027800000000000002
Argentina,ARG,2008,0.027800000000000002
Argentina,ARG,2009,0.027800000000000002
Argentina,ARG,2010,0.027800000000000002
Argentina,ARG,2011,0.0596
Argentina,ARG,2012,0.137
Argentina,ARG,2013,0.19
Argentina,ARG,2014,0.2152
Argentina,ARG,2015,0.2152
Argentina,ARG,2016,0.21530000000000002
Argentina,ARG,2017,0.2572
Argentina,ARG,2018,0.7501
Australia,AUS,1997,0.004
Australia,AUS,1998,0.01
Australia,AUS,1999,0.01
Australia,AUS,2000,0.033
Australia,AUS,2001,0.076
Australia,AUS,2002,0.106
Australia,AUS,2003,0.19
Australia,AUS,2004,0.379
Australia,AUS,2005,0.74
Australia,AUS,2006,0.8190000000000001
Australia,AUS,2007,1.249
Australia,AUS,2008,1.441
Australia,AUS,2009,1.703
Australia,AUS,2010,1.864
Australia,AUS,2011,2.1270000000000002
Australia,AUS,2012,2.561
Australia,AUS,2013,3.221
Australia,AUS,2014,3.797
Australia,AUS,2015,4.234
Australia,AUS,2016,4.327
Australia,AUS,2017,4.874
Australia,AUS,2018,5.816
Austria,AUT,1997,0.02
Austria,AUT,1998,0.03
Austria,AUT,1999,0.042
Austria,AUT,2000,0.077
Austria,AUT,2001,0.094
Austria,AUT,2002,0.139
Austria,AUT,2003,0.41500000000000004
Austria,AUT,2004,0.607
Austria,AUT,2005,0.8252
Austria,AUT,2006,0.9682999999999999
Austria,AUT,2007,0.9912000000000001
Austria,AUT,2008,0.992
Austria,AUT,2009,1.0010000000000001
Austria,AUT,2010,1.0158
Austria,AUT,2011,1.106
Austria,AUT,2012,1.3372000000000002
Austria,AUT,2013,1.6745
Austria,AUT,2014,2.1103
Austria,AUT,2015,2.4886999999999997
Austria,AUT,2016,2.73
Austria,AUT,2017,2.8867
Austria,AUT,2018,3.0777
Belgium,BEL,1997,0.009000000000000001
Belgium,BEL,1998,0.01
Belgium,BEL,1999,0.011
Belgium,BEL,2000,0.014
Belgium,BEL,2001,0.026000000000000002
Belgium,BEL,2002,0.031
Belgium,BEL,2003,0.067
Belgium,BEL,2004,0.096
Belgium,BEL,2005,0.167
Belgium,BEL,2006,0.212
Belgium,BEL,2007,0.276
Belgium,BEL,2008,0.324
Belgium,BEL,2009,0.608
Belgium,BEL,2010,0.912
Belgium,BEL,2011,1.069
Belgium,BEL,2012,1.37
Belgium,BEL,2013,1.78
Belgium,BEL,2014,1.944
Belgium,BEL,2015,2.176
Belgium,BEL,2016,2.37
Belgium,BEL,2017,2.8056
Belgium,BEL,2018,3.157
Brazil,BRA,1997,0.004
Brazil,BRA,1998,0.019
Brazil,BRA,1999,0.022
Brazil,BRA,2000,0.022
Brazil,BRA,2001,0.024
Brazil,BRA,2002,0.022
Brazil,BRA,2003,0.024
Brazil,BRA,2004,0.024
Brazil,BRA,2005,0.029
Brazil,BRA,2006,0.23700000000000002
Brazil,BRA,2007,0.247
Brazil,BRA,2008,0.398
Brazil,BRA,2009,0.602
Brazil,BRA,2010,0.927
Brazil,BRA,2011,1.426
Brazil,BRA,2012,1.8940000000000001
Brazil,BRA,2013,2.202
Brazil,BRA,2014,4.888
Brazil,BRA,2015,7.633
Brazil,BRA,2016,10.124
Brazil,BRA,2017,12.294
Brazil,BRA,2018,14.401
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0.001
Bulgaria,BGR,2005,0.008
Bulgaria,BGR,2006,0.027
Bulgaria,BGR,2007,0.03
Bulgaria,BGR,2008,0.114
Bulgaria,BGR,2009,0.333
Bulgaria,BGR,2010,0.488
Bulgaria,BGR,2011,0.541
Bulgaria,BGR,2012,0.677
Bulgaria,BGR,2013,0.683
Bulgaria,BGR,2014,0.6990000000000001
Bulgaria,BGR,2015,0.6990000000000001
Bulgaria,BGR,2016,0.6990000000000001
Bulgaria,BGR,2017,0.6984
Bulgaria,BGR,2018,0.6984
Canada,CAN,1997,0.026000000000000002
Canada,CAN,1998,0.083
Canada,CAN,1999,0.126
Canada,CAN,2000,0.139
Canada,CAN,2001,0.214
Canada,CAN,2002,0.27
Canada,CAN,2003,0.35100000000000003
Canada,CAN,2004,0.444
Canada,CAN,2005,0.677
Canada,CAN,2006,1.423
Canada,CAN,2007,1.84
