Entity,Code,Year,Solar Generation (gigawatt-hours),Solar Capacity (gigawatts)
Algeria,DZA,1965,0,
Algeria,DZA,1966,0,
Algeria,DZA,1967,0,
Algeria,DZA,1968,0,
Algeria,DZA,1969,0,
Algeria,DZA,1970,0,
Algeria,DZA,1971,0,
Algeria,DZA,1972,0,
Algeria,DZA,1973,0,
Algeria,DZA,1974,0,
Algeria,DZA,1975,0,
Algeria,DZA,1976,0,
Algeria,DZA,1977,0,
Algeria,DZA,1978,0,
Algeria,DZA,1979,0,
Algeria,DZA,1980,0,
Algeria,DZA,1981,0,
Algeria,DZA,1982,0,
Algeria,DZA,1983,0,
Algeria,DZA,1984,0,
Algeria,DZA,1985,0,
Algeria,DZA,1986,0,
Algeria,DZA,1987,0,
Algeria,DZA,1988,0,
Algeria,DZA,1989,0,
Algeria,DZA,1990,0,
Algeria,DZA,1991,0,
Algeria,DZA,1992,0,
Algeria,DZA,1993,0,
Algeria,DZA,1994,0,
Algeria,DZA,1995,0,
Algeria,DZA,1996,0,0
Algeria,DZA,1997,0,0
Algeria,DZA,1998,0,0
Algeria,DZA,1999,0,0
Algeria,DZA,2000,0,0
Algeria,DZA,2001,0,0
Algeria,DZA,2002,0,0
Algeria,DZA,2003,0,0
Algeria,DZA,2004,0,0
Algeria,DZA,2005,0,0
Algeria,DZA,2006,0,0
Algeria,DZA,2007,0,0
Algeria,DZA,2008,0,0
Algeria,DZA,2009,0,0
Algeria,DZA,2010,9.1,0.025
Algeria,DZA,2011,18.11875,0.025
Algeria,DZA,2012,26.723013698630098,0.025
Algeria,DZA,2013,28.6,0.025
Algeria,DZA,2014,60,0.0261
Algeria,DZA,2015,58,0.0741
Algeria,DZA,2016,245,0.2441
Algeria,DZA,2017,504,0.425
Algeria,DZA,2018,603,0.435
Argentina,ARG,1965,0,
Argentina,ARG,1966,0,
Argentina,ARG,1967,0,
Argentina,ARG,1968,0,
Argentina,ARG,1969,0,
Argentina,ARG,1970,0,
Argentina,ARG,1971,0,
Argentina,ARG,1972,0,
Argentina,ARG,1973,0,
Argentina,ARG,1974,0,
Argentina,ARG,1975,0,
Argentina,ARG,1976,0,
Argentina,ARG,1977,0,
Argentina,ARG,1978,0,
Argentina,ARG,1979,0,
Argentina,ARG,1980,0,
Argentina,ARG,1981,0,
Argentina,ARG,1982,0,
Argentina,ARG,1983,0,
Argentina,ARG,1984,0,
Argentina,ARG,1985,0,
Argentina,ARG,1986,0,
Argentina,ARG,1987,0,
Argentina,ARG,1988,0,
Argentina,ARG,1989,0,
Argentina,ARG,1990,0,
Argentina,ARG,1991,0,
Argentina,ARG,1992,0,
Argentina,ARG,1993,0,
Argentina,ARG,1994,0,
Argentina,ARG,1995,0,
Argentina,ARG,1996,0,
Argentina,ARG,1997,0,
Argentina,ARG,1998,0.017,
Argentina,ARG,1999,0.026,
Argentina,ARG,2000,0.036000000000000004,
Argentina,ARG,2001,0.043000000000000003,
Argentina,ARG,2002,0.047,
Argentina,ARG,2003,0.06499999999999999,
Argentina,ARG,2004,0.06999999999999999,
Argentina,ARG,2005,0.081,
Argentina,ARG,2006,0.09000000000000001,
Argentina,ARG,2007,0.10890000000000001,
Argentina,ARG,2008,0.1437,
Argentina,ARG,2009,0.076084,
Argentina,ARG,2010,0.08589000000000001,
Argentina,ARG,2011,1.6139999999999999,
Argentina,ARG,2012,8.172966800000001,
Argentina,ARG,2013,15.074079000000001,
Argentina,ARG,2014,15.943999999999999,
Argentina,ARG,2015,14.683,
Argentina,ARG,2016,14.273,
Argentina,ARG,2017,16.417,
Argentina,ARG,2018,108.128528,
Australia,AUS,1965,0,
Australia,AUS,1966,0,
Australia,AUS,1967,0,
Australia,AUS,1968,0,
Australia,AUS,1969,0,
Australia,AUS,1970,0,
Australia,AUS,1971,0,
Australia,AUS,1972,0,
Australia,AUS,1973,0,
Australia,AUS,1974,0,
Australia,AUS,1975,0,
Australia,AUS,1976,0,
Australia,AUS,1977,0,
Australia,AUS,1978,0,
Australia,AUS,1979,0,
Australia,AUS,1980,0,
Australia,AUS,1981,0,
Australia,AUS,1982,0,
Australia,AUS,1983,0,
Australia,AUS,1984,0,
