Entity,Code,Year,Solar Capacity (gigawatts)
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.025
Algeria,DZA,2011,0.025
Algeria,DZA,2012,0.025
Algeria,DZA,2013,0.025
Algeria,DZA,2014,0.0261
Algeria,DZA,2015,0.0741
Algeria,DZA,2016,0.2441
Algeria,DZA,2017,0.425
Algeria,DZA,2018,0.435
Australia,AUS,1996,0.016
Australia,AUS,1997,0.019
Australia,AUS,1998,0.023
Australia,AUS,1999,0.025
Australia,AUS,2000,0.029
Australia,AUS,2001,0.034
Australia,AUS,2002,0.039
Australia,AUS,2003,0.046
Australia,AUS,2004,0.052000000000000005
Australia,AUS,2005,0.061
Australia,AUS,2006,0.07
Australia,AUS,2007,0.082
Australia,AUS,2008,0.105
Australia,AUS,2009,0.188
Australia,AUS,2010,0.5710000000000001
Australia,AUS,2011,1.397
Australia,AUS,2012,2.435
Australia,AUS,2013,3.258
Australia,AUS,2014,4.007
Australia,AUS,2015,4.36
Australia,AUS,2016,4.721
Australia,AUS,2017,5.993399999999999
Australia,AUS,2018,9.7687
Austria,AUT,1996,0.0017
Austria,AUT,1997,0.0022
Austria,AUT,1998,0.0029
Austria,AUT,1999,0.0037
Austria,AUT,2000,0.005
Austria,AUT,2001,0.007
Austria,AUT,2002,0.009000000000000001
Austria,AUT,2003,0.023
Austria,AUT,2004,0.027
Austria,AUT,2005,0.021
Austria,AUT,2006,0.0224
Austria,AUT,2007,0.0242
Austria,AUT,2008,0.030100000000000002
Austria,AUT,2009,0.0489
Austria,AUT,2010,0.0888
Austria,AUT,2011,0.1741
Austria,AUT,2012,0.3375
Austria,AUT,2013,0.626
Austria,AUT,2014,0.7852
Austria,AUT,2015,0.9371
Austria,AUT,2016,1.096
Austria,AUT,2017,1.2690000000000001
Austria,AUT,2018,1.431
Belgium,BEL,1996,0
Belgium,BEL,1997,0
Belgium,BEL,1998,0
Belgium,BEL,1999,0
Belgium,BEL,2000,0
Belgium,BEL,2001,0
Belgium,BEL,2002,0.001
Belgium,BEL,2003,0.001
Belgium,BEL,2004,0.001
Belgium,BEL,2005,0.002
Belgium,BEL,2006,0.002
Belgium,BEL,2007,0.02
Belgium,BEL,2008,0.062
Belgium,BEL,2009,0.386
Belgium,BEL,2010,1.0069
Belgium,BEL,2011,1.9790999999999999
Belgium,BEL,2012,2.6465
Belgium,BEL,2013,2.9024
Belgium,BEL,2014,3.0148
Belgium,BEL,2015,3.1310000000000002
Belgium,BEL,2016,3.3254
Belgium,BEL,2017,3.6096
Belgium,BEL,2018,4.0256
Brazil,BRA,1996,0
Brazil,BRA,1997,0
Brazil,BRA,1998,0
Brazil,BRA,1999,0
Brazil,BRA,2000,0
Brazil,BRA,2001,0
Brazil,BRA,2002,0
Brazil,BRA,2003,0
Brazil,BRA,2004,0
Brazil,BRA,2005,0
Brazil,BRA,2006,0
Brazil,BRA,2007,0
Brazil,BRA,2008,0
Brazil,BRA,2009,0
Brazil,BRA,2010,0.001
Brazil,BRA,2011,0.001
Brazil,BRA,2012,0.002
Brazil,BRA,2013,0.005
Brazil,BRA,2014,0.015
Brazil,BRA,2015,0.0229
Brazil,BRA,2016,0.08
Brazil,BRA,2017,1.097
Brazil,BRA,2018,2.2960000000000003
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0
Bulgaria,BGR,2005,0
Bulgaria,BGR,2006,0
Bulgaria,BGR,2007,0
Bulgaria,BGR,2008,0
Bulgaria,BGR,2009,0.002
Bulgaria,BGR,2010,0.025
Bulgaria,BGR,2011,0.154
Bulgaria,BGR,2012,1.0130000000000001
Bulgaria,BGR,2013,1.02
Bulgaria,BGR,2014,1.026
Bulgaria,BGR,2015,1.029
Bulgaria,BGR,2016,1.028
Bulgaria,BGR,2017,1.0355999999999999
Bulgaria,BGR,2018,1.0355999999999999
Canada,CAN,1996,0.003
Canada,CAN,1997,0.003
Canada,CAN,1998,0.005
Canada,CAN,1999,0.006
Canada,CAN,2000,0.007
Canada,CAN,2001,0.009000000000000001
Canada,CAN,2002,0.01
Canada,CAN,2003,0.012
Canada,CAN,2004,0.014
Canada,CAN,2005,0.017
Canada,CAN,2006,0.021
Canada,CAN,2007,0.026000000000000002
Canada,CAN,2008,0.033
Canada,CAN,2009,0.095
Canada,CAN,2010,0.221
Canada,CAN,2011,0.497
Canada,CAN,2012,0.766
Canada,CAN,2013,1.21
Canada,CAN,2014,1.843
Canada,CAN,2015,2.517
Canada,CAN,2016,2.661
Canada,CAN,2017,2.873
Canada,CAN,2018,3.113
Chile,CHL,1996,0
Chile,CHL,1997,0
Chile,CHL,1998,0
Chile,CHL,1999,0
Chile,CHL,2000,0
Chile,CHL,2001,0
Chile,CHL,2002,0
Chile,CHL,2003,0
Chile,CHL,2004,0
Chile,CHL,2005,0
Chile,CHL,2006,0
Chile,CHL,2007,0
Chile,CHL,2008,0
Chile,CHL,2009,0
Chile,CHL,2010,0
Chile,CHL,2011,0
Chile,CHL,2012,0.002
Chile,CHL,2013,0.015
Chile,CHL,2014,0.221
Chile,CHL,2015,0.5760000000000001
Chile,CHL,2016,1.125
Chile,CHL,2017,1.809
Chile,CHL,2018,2.137
China,CHN,1996,0.001
China,CHN,1997,0.0025
China,CHN,1998,0.005
China,CHN,1999,0.01
China,CHN,2000,0.0335
China,CHN,2001,0.038
China,CHN,2002,0.0565
China,CHN,2003,0.06659999999999999
China,CHN,2004,0.0766
China,CHN,2005,0.1412
China,CHN,2006,0.16019999999999998
China,CHN,2007,0.199
China,CHN,2008,0.253
China,CHN,2009,0.4148
China,CHN,2010,1.0245
China,CHN,2011,3.113
China,CHN,2012,6.7255
China,CHN,2013,17.7617
China,CHN,2014,28.4017
China,CHN,2015,43.5517
China,CHN,2016,77.8017
China,CHN,2017,130.8162
China,CHN,2018,175.03170000000003
Czech Republic,CZE,1996,0
Czech Republic,CZE,1997,0
Czech Republic,CZE,1998,0
Czech Republic,CZE,1999,0
Czech Republic,CZE,2000,0.0001
Czech Republic,CZE,2001,0.0001
Czech Republic,CZE,2002,0.0002
Czech Republic,CZE,2003,0.0003
Czech Republic,CZE,2004,0.0004
Czech Republic,CZE,2005,0.001
Czech Republic,CZE,2006,0.001
Czech Republic,CZE,2007,0.004
Czech Republic,CZE,2008,0.04
