Entity,Code,Year,Wind Generation (terawatt-hours)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0.002
Africa,,1994,0.0054
Africa,,1995,0.0063
Africa,,1996,0.0071
Africa,,1997,0.0072
Africa,,1998,0.0076
Africa,,1999,0.0198
Africa,,2000,0.176
Africa,,2001,0.41608
Africa,,2002,0.444564
Africa,,2003,0.541187
Africa,,2004,0.769317505050505
Africa,,2005,0.782410111111111
Africa,,2006,0.852500606060606
Africa,,2007,1.01629736363636
Africa,,2008,1.31218413131313
Africa,,2009,1.58988193939394
Africa,,2010,2.28414643434343
Africa,,2011,2.53747593939394
Africa,,2012,2.96169624040404
Africa,,2013,3.5597563020202
Africa,,2014,5.15716761867677
Africa,,2015,8.88708223954545
Africa,,2016,11.3047001777414
Africa,,2017,12.7959088357325
Africa,,2018,14.6859395177227
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0.001
Algeria,DZA,2015,0.019
Algeria,DZA,2016,0.0190520547945205
Algeria,DZA,2017,0.019
Algeria,DZA,2018,0.01
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0.009618
Argentina,ARG,1997,0.014592
Argentina,ARG,1998,0.032541
Argentina,ARG,1999,0.034781
Argentina,ARG,2000,0.034758
Argentina,ARG,2001,0.049361
Argentina,ARG,2002,0.073405
Argentina,ARG,2003,0.077954
Argentina,ARG,2004,0.072446
Argentina,ARG,2005,0.071719665
Argentina,ARG,2006,0.06964
Argentina,ARG,2007,0.061593
Argentina,ARG,2008,0.041951078
Argentina,ARG,2009,0.0368315286
Argentina,ARG,2010,0.0253516062
Argentina,ARG,2011,0.02659055
Argentina,ARG,2012,0.369861999333
Argentina,ARG,2013,0.453354876
Argentina,ARG,2014,0.619491
Argentina,ARG,2015,0.593334963
Argentina,ARG,2016,0.547359
Argentina,ARG,2017,0.611567
Argentina,ARG,2018,1.412699784
Asia Pacific,,1965,0
Asia Pacific,,1966,0
Asia Pacific,,1967,0
Asia Pacific,,1968,0
Asia Pacific,,1969,0
Asia Pacific,,1970,0
Asia Pacific,,1971,0
Asia Pacific,,1972,0
Asia Pacific,,1973,0
Asia Pacific,,1974,0
Asia Pacific,,1975,0
Asia Pacific,,1976,0
Asia Pacific,,1977,0
Asia Pacific,,1978,0
Asia Pacific,,1979,0
Asia Pacific,,1980,0
Asia Pacific,,1981,0
Asia Pacific,,1982,0
Asia Pacific,,1983,0
Asia Pacific,,1984,0
Asia Pacific,,1985,0
Asia Pacific,,1986,0
Asia Pacific,,1987,0
Asia Pacific,,1988,0
Asia Pacific,,1989,0
Asia Pacific,,1990,0.0323232323232319
Asia Pacific,,1991,0.122000909090909
Asia Pacific,,1992,0.220474040404039
Asia Pacific,,1993,0.311836666666664
Asia Pacific,,1994,0.583588080808076
Asia Pacific,,1995,1.12160131313131
Asia Pacific,,1996,0.991205066484847
Asia Pacific,,1997,1.21395004149495
Asia Pacific,,1998,1.48955016659596
Asia Pacific,,1999,2.05324900639393
Asia Pacific,,2000,2.56397697970706
Asia Pacific,,2001,3.51743241797979
Asia Pacific,,2002,4.06703623152968
Asia Pacific,,2003,5.34084763795393
Asia Pacific,,2004,9.18665430653978
Asia Pacific,,2005,12.0191786582367
Asia Pacific,,2006,18.5697520267721
Asia Pacific,,2007,24.6031247820448
Asia Pacific,,2008,36.0894879310322
Asia Pacific,,2009,54.8425886174204
Asia Pacific,,2010,76.7212708975274
Asia Pacific,,2011,109.802787179035
Asia Pacific,,2012,140.728531900333
Asia Pacific,,2013,191.519400161439
Asia Pacific,,2014,210.682543378679
Asia Pacific,,2015,243.162155359375
Asia Pacific,,2016,307.2584778413
Asia Pacific,,2017,376.740026528658
Asia Pacific,,2018,460.469456010208
Australia,AUS,1965,0
Australia,AUS,1966,0
Australia,AUS,1967,0
Australia,AUS,1968,0
Australia,AUS,1969,0
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0
Australia,AUS,1974,0
Australia,AUS,1975,0
Australia,AUS,1976,0
Australia,AUS,1977,0
Australia,AUS,1978,0
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0
Australia,AUS,1988,0
Australia,AUS,1989,0
Australia,AUS,1990,0
Australia,AUS,1991,0
Australia,AUS,1992,0
Australia,AUS,1993,0.002
Australia,AUS,1994,0.0055
Australia,AUS,1995,0.007
Australia,AUS,1996,0.007
Australia,AUS,1997,0.0075
Australia,AUS,1998,0.018
Australia,AUS,1999,0.043
Australia,AUS,2000,0.134
Australia,AUS,2001,0.287
Australia,AUS,2002,0.53355
Australia,AUS,2003,0.70405
